,ID,Population,Location,Taxon,CL,CorneaA,EyestalkW,Cornea.EW,CorneaW,CorneaA.EW.CL,CorneaW.EW,CorneaW.EW.CL,EyestalkLength,Crest Angle,Concave Angle,Eyestalk Gap,MaCPropodusL,MaCPropodusH,MaCCarpusL,MaCCarpusH,MaCPollexH,MaCDactylH,MaCPollexDactyl Gap,MaCCleftWidth,MaCPropodusL.CL,MaCPropodusL.PropodusH,MaCCleftWidth.CL,MaCPropodusH.CL,MaCCarpuL.CL,MaCCarpusH.CL,MaCPollexH.CL,MaCDactyl.CL,MaCGap.CL,WL1PollexH,WL1DactylH,WL1PropodusL,WL1CarpusH,WL1CarpusPropodusGap,WL1CarpusL,WL1CarpusA,WL1MerusH,WL1HairL,WL1PollexH.DactylH,WL1PropodusL.CL,WL1CarpusH.CL,WL1Gap.CL,WL1MerusH.CL,WL1HairL.CL,WL1PollexH.DactylH.CL,MiCPropodusL,MiCPropodusH,MiCCarpusH,MiCCarpusL,MiCDactylH,MiCPollexH,MiCMerusH,MiCPropodusL.CL,MiCPropodusH.CL,MiCCarpusH.CL,MiCCarpusL.CL,MiCDactylH.CL,MiCPollexH.CL,MiCMerusH.CL,WL2PropodusL,WL2PropodusH,WL2PollexL,WL2PollexW,WL2CarpusW,WL2CarpusL,WL2MerusW,WL2PropodusL.CL,PropodusH.CL,WL2PollexL.CL,WL2PollexW.CL,WL2CarpusW.CL,WL2CarpusL.CL,MerusW.CL
12,A16,EstGigas,Estuary,Uncertain,9.529,0.4,1.94,0.206185567,0.644,0.021637692,0.331958763,0.034836684,2.625,114.939,154.719,0.504,6.07,3.319,3.636,3.076,1.333,1.601,0,0.251,0.799525817,1.828864116,0.033061117,0.437170706,0.478925184,0.40516333,0.175579557,0.210879874,0,0.718,0.844,2.881,1.601,0.336,3.584,41.933,1.59,4.414,0.8507109,0.302340225,0.168013433,0.035260783,0.166859062,0.463217546,0.089275989,4.856,2.031,2.243,5.497,1.053,0.825,NA,0.509602267,0.213138839,0.235386714,0.576870606,0.110504775,0.086577815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,A74,EstGigas,Estuary,N. gigas,19.416,0.26,1.314,0.197869102,0.442,0.010191033,0.336377473,0.017324757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,A57,EstGigas,Estuary,N. gigas,26.841,0.563,2.379,0.236654056,0.531,0.008816887,0.223203026,0.008315749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,A58,EstGigas,Estuary,N. gigas,26.131,0.291,2.162,0.134597595,0.418,0.005150878,0.1933395,0.007398856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,A60,EstGigas,Estuary,N. gigas,25.18,0.239,1.866,0.128081458,0.62,0.005086635,0.332261522,0.013195454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,A62,EstGigas,Estuary,N. gigas,27.62,0.24,1.908,0.125786164,0.454,0.00455417,0.237945493,0.008614971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,A63,EstGigas,Estuary,N. gigas,22.234,0.316,1.705,0.185337243,0.422,0.008335758,0.247507331,0.01113193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,A65,EstGigas,Estuary,N. gigas,29.159,0.153,1.839,0.08319739,0.478,0.002853232,0.259923872,0.008914019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,A66,EstGigas,Estuary,N. gigas,24.821,0.293,1.819,0.161077515,0.359,0.006489566,0.197361187,0.007951379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,A67,EstGigas,Estuary,N. gigas,24.379,0.332,2.132,0.155722326,0.471,0.00638756,0.220919325,0.00906187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,A68,EstGigas,Estuary,N. gigas,19.898,0.205,1.857,0.110393107,0.462,0.00554795,0.248788368,0.012503185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,A70,EstGigas,Estuary,N. gigas,28.874,0.242,2.375,0.101894737,0.456,0.003528944,0.192,0.006649581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,A71,EstGigas,Estuary,N. gigas,20.178,0.232,1.704,0.136150235,0.363,0.006747459,0.213028169,0.010557447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,A72,EstGigas,Estuary,N. gigas,26.837,0.363,2.267,0.160123511,0.394,0.005966521,0.173797971,0.006476058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,A77,EstGigas,Estuary,N. gigas,17.75,0.39,1.741,0.22400919,0.499,0.012620236,0.286616887,0.01614743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,A78,EstGigas,Estuary,N. gigas,21.198,0.262,1.625,0.161230769,0.381,0.007605943,0.234461538,0.01106055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,A79,EstGigas,Estuary,N. gigas,17.296,0.203,1.586,0.127994956,0.646,0.007400263,0.407313997,0.023549607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,A81,EstGigas,Estuary,N. gigas,14.143,0.224,1.449,0.154589372,0.48,0.010930451,0.33126294,0.023422396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,A8,EstGigas,Estuary,N. gigas,19.26,0.227,2.545,0.089194499,0.362,0.004631075,0.142239686,0.007385238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.883,4.535,3.46,1.751,4.943,7.678,3.643,0.340147995,0.15608329,0.119084495,0.060265015,0.170125624,0.264257443,0.125382895
31,A2,EstGigas,Estuary,N. gigas,15.19,0.25,2.293,0.109027475,0.451,0.007177582,0.196685565,0.012948358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.386,5.004,5.364,16.281,2.34,2.565,5.194,0.440558584,0.153243094,0.164267777,0.498591291,0.07166044,0.078550867,0.159061677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,A75,EstGigas,Estuary,N. gigas,NA,0.264,1.578,0.16730038,0.425,NA,0.269328264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,A10,EstGigas,Estuary,N. gigas,8.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.401,8.652,10.523,7.859,3.196,3.631,0,0.621,2.208208328,2.126791493,0.074522981,1.038281531,1.262810512,0.943117725,0.383535341,0.435737429,0,3.101,1.917,6.577,5.12,1.084,7.219,49.418,4.312,7.857,1.617631716,0.789271571,0.614424577,0.130085203,0.517460698,0.942877715,0.194123571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.391,4.021,2.582,1.096,4.463,7.607,3.518,1.006960278,0.482539302,0.309852394,0.131525261,0.535581423,0.912876515,0.422176887
34,B3,Offshore,Offshore,Probably gigas,17.656,0.319,1.522,0.209592641,0.527,0.011870902,0.346254928,0.019611176,2.78,122.57,168.69,0.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.689,5.581,3.847,0.885,6.894,51.023,3.274,5.792,NA,0.316096511,0.217886271,0.050124604,0.185432714,0.328047123,0,NA,9.566,3.037,3.006,9.734,1.642,1.276,3.269,0.541798822,0.172009515,0.170253738,0.551314001,0.092999547,0.07227005,0.185149524,6.872,3.546,3.277,1.541,3.239,5.364,2.557,0.38921613,0.200838242,0.185602628,0.087279112,0.183450385,0.303806072,0.14482329
35,B4,Offshore,Offshore,Probably gigas,16.882,0.311,1.188,0.261784512,0.57,0.015506724,0.47979798,0.028420684,2.104,102.113,161.839,0.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.481,4.939,3.125,NA,6.022,47.437,2.931,6.329,1.173531398,0.292560123,0.185108399,NA,0.17361687,0.374896339,0.069513766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.918,2.591,2.742,1.085,3.163,5.518,2.144,0.350550883,0.153477076,0.162421514,0.064269636,0.187359318,0.326857007,0.126999171
36,B13,Offshore,Offshore,Probably gigas,22.939,0.351,1.546,0.227037516,0.552,0.009897446,0.357050453,0.015565214,2.547,112.268,154.344,0.771,23.066,11.219,19.695,9.848,3.991,4.654,0.418,1.933,1.005536423,2.055976468,0.084266969,0.489079733,0.858581455,0.429312525,0.173983173,0.202885915,0.018222242,1.425,5.429,3.845,0.795,6.174,44.459,3.464,8.474,1.641403509,0.236671171,0.167618466,0.034657134,0.151009198,0.369414534,0.071555147,NA,9.733,3.79,3.883,11.35,1.78,1.547,NA,0.424299228,0.165220803,0.169275034,0.494790531,0.077597105,0.067439731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,B15,Offshore,Offshore,Probably gigas,21.422,0.368,1.885,0.195225464,0.513,0.009113316,0.272148541,0.012704161,3.179,145.26,154.894,0.911,18.335,8.61,16.663,8.5,4.524,3.501,0,1.653,0.855895808,2.129500581,0.077163664,0.401923256,0.777845206,0.396788348,0.211184763,0.163430119,0,1.58,5.635,4.032,0.705,7.485,45.996,3.48,6.789,1.660126582,0.263047335,0.18821772,0.032910092,0.162449818,0.316917188,0.077496339,NA,10.771,3.853,3.019,9.14,1.99,1.662,2.631,0.502800859,0.179861824,0.140929885,0.426664177,0.092895155,0.077583792,0.122817664,7.414,4.067,3.159,1.366,3.82,6.639,2.666,0.346092802,0.189851554,0.147465223,0.063766222,0.178321352,0.309915041,0.124451498
38,B19,Offshore,Offshore,Probably gigas,19.17,0.344,1.798,0.191323693,0.599,0.00998037,0.333147942,0.017378609,2.331,128.66,151.504,1.113,21.573,11.601,16.568,11.225,4.363,4.603,0,1.637,1.125352113,1.859581071,0.085393845,0.605164319,0.864267084,0.585550339,0.227595201,0.240114763,0,1.652,6.313,4.516,0.979,7.728,52.995,3.984,7.999,1.51937046,0.329316641,0.235576421,0.051069379,0.207824726,0.417266562,0.079257718,NA,11.194,3.167,4.176,12.858,1.732,1.422,3.962,0.583933229,0.165206051,0.217840376,0.670735524,0.090349504,0.074178404,0.2066771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,B33,Offshore,Offshore,Probably gigas,25.104,0.399,1.656,0.240942029,0.601,0.009597755,0.362922705,0.014456768,3.298,134.897,172.441,1.123,24.908,11.78,20.877,10.143,4.026,5.761,0.992,2.242,0.992192479,2.114431239,0.089308477,0.469247929,0.831620459,0.404039197,0.160372849,0.229485341,0.039515615,1.748,7.106,4.884,0.799,8.722,46.669,4.201,9.775,1.482837529,0.28306246,0.194550669,0.031827597,0.16734385,0.389380178,0.059067779,NA,11.849,3.339,3.679,12.889,1.734,1.313,4.216,0.471996495,0.133006692,0.146550351,0.513424156,0.069072658,0.052302422,0.167941364,8.38,4.4,2.993,1.456,4.113,7.942,3.157,0.333811345,0.175270873,0.119224028,0.057998725,0.163838432,0.316363926,0.125756851
40,B23,Offshore,Offshore,Probably gigas,17.788,0.479,1.552,0.308634021,NA,0.017350687,NA,NA,3.26,117.999,165.142,1.006,17.763,10.02,12.511,9.806,3.709,4.21,0,1.329,0.998594558,1.772754491,0.07471329,0.563301102,0.70333933,0.551270519,0.208511356,0.236676411,0,1.761,6.333,4.456,0.876,8.013,56.277,3.9,3.848,1.412833617,0.356026535,0.250505959,0.049246683,0.219248932,0.216325613,0.079426221,NA,10.892,3.518,2.862,12.282,1.61,1.614,3.523,0.612322914,0.19777378,0.160894985,0.690465482,0.090510456,0.090735327,0.198054868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,B25,Offshore,Offshore,Probably gigas,18.334,0.286,1.775,0.161126761,0.638,0.008788413,0.35943662,0.019604921,2.737,120.717,142.626,1.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.794,5.081,3.537,0.918,5.579,64.455,2.866,5.855,1.109810479,0.277135377,0.192920257,0.050070907,0.156321588,0.319352024,0.060532916,NA,6.361,1.494,1.79,6.163,0.996,0.976,2.397,0.34695102,0.081487946,0.097632813,0.336151413,0.054325297,0.053234428,0.1307407,6.788,3.493,2.562,1.256,3.288,6.278,2.63,0.370241082,0.190520345,0.139740373,0.0685066,0.179338933,0.342423912,0.143449329
